Description,Discount_Price,Price,Metal,Metal Color,Stones,Snake Dimension,Top Width,Flower Dimension,Top width,Width,Gemstones,Top Length,Top Diameter,Size,GAL Certified. Top Width,Panther Head Size,Setting Width,Center Stone,Top Widht,Length,Band Width,Flower Diameter,Band Thickness,Starfish Size,Snake Length, Height, Stone included,Dragon Length,Bow Length, Gemstones,Heart Size,Length Across Butterflies,Diameter,Information,Top Length Appx,Height , Contains,Jewelry_Type,Sex
"Effy Nature Sterling Silver & 18K Gold Diamond Flower Ring, 0.02 TCW",455.0,650.0,Sterling Silver & 18K Gold,N/A,Round Diamond 0.02,,,,,,,,,,,,,,,,,"5/8""",,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Diamond Ring, 0.98 TCW",3500.0,5000.0,14K Gold,Yellow,"Round Diamond 0.98,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bordeaux 14K Rose Gold Rhodolite Garnet and Diamond Ring, 3.32 TCW",2170.0,3100.0,14K Gold,Rose,"Pear Garnet 2.9, Round Diamond 0.42",,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Aurora 14K Yellow Gold Opal and Diamond Ring, 1.88 TCW",1875.0,3750.0,14K Gold,Yellow,"Oval Opal 1.4, Round Diamond 0.48,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Yellow Gold Multi-Sapphire and Diamond Ring, 1.03 TCW",1116.5,1595.0,14K Gold,Yellow,"Round Multi Sapphire 0.92, Round Diamond 0.11,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 2.26 TCW",2516.5,3595.0,14K Gold,Yellow,"Emerald Cut Emerald 2.11, Round Diamond 0.15",,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 1.72 TCW",3006.5,4295.0,14K Gold,Yellow,"Pear Emerald 1.33, Round Diamond 0.39",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 1.57 TCW",2306.5,3295.0,14K Gold,Yellow,"Emerald Cut Emerald 1.42, Round Diamond 0.15",,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 1.53 TCW",2096.5,2995.0,14K Gold,Yellow,"Emerald Cut Emerald 1.33, Round Diamond 0.2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 1.58 TCW",2936.5,4195.0,14K Gold,Yellow,"Emerald Cut Emerald 0.95, Multi Shape Diamond 0.63",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 1.55 TCW",2796.5,3995.0,14K Gold,Yellow,"Oval Emerald 1.14, Round Diamond 0.41",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Gold Multi Sapphire Diamond Butterfly Ring, 2.62 TCW",1816.5,2595.0,14K Gold,Yellow,"Round Diamond 1.48, Marquise Multi Sapphire 1.14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Sunset 14K Yellow Gold Citrine and Diamond Ring, 6.72 TCW",976.5,1395.0,14K Gold,Yellow,"Rectangle Citrine 6.66, Round Diamond 0.06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Blush 14K Rose Gold Morganite and Diamond Ring, 2.59 TCW",2275.0,3250.0,14K Gold,Rose,"Emerald Cut Morganite 2.2, Multi Shape Diamond 0.39",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 925 Sterling Silver and 18K Yellow Gold Diamond Ring, 0.10 TCW",486.5,695.0,Sterling Silver & 18K Gold,Yellow,Round Diamond 0.11,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bouquet 14K Yellow Gold Diamond Cluster Ring, 0.68 TCW",2656.5,3795.0,14K Gold,Yellow,"Round Diamond 0.68,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 925 Sterling Silver Multi Sapphire Splash Ring, 1.84 TCW",250.0,,Sterling Silver,N/A,"Round Sapphire 1.84,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Safari 14K Rose Gold Diamond Snake Ring, 1.85 TCW",5246.5,7495.0,14K Gold,Rose,"Round Cognac Diamond 1.56, Round Diamond 0.25, Round Tsavorite 0.04",,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Mosaic Sterling Silver Multi Gemstone Ring, 1.66 TCW",157.5,225.0,Sterling Silver,N/A,"Smokey Quartz, Peridot, Garnet, Citrine, Amethyst, Blue Topaz and Garnet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Gold Multi Sapphire and Diamond Floral Ring, 3.03 TCW",1855.0,2650.0,14K Gold,Yellow,"Pear Multi Sapphire 2.85, Round Diamond 0.18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Rose 14K Rose Gold Diamond Ring, 0.52 TCW",2096.5,2995.0,14K Gold,Rose,Round Diamond 0.52,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 925 Sterling Silver Blue Sapphire Splash Ring, 1.80 TCW",250.0,,Sterling Silver,N/A,"Blue Sapphire 1.8,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 925 Lagoon Sterling Silver Onyx Ring, 4.30 TCW",346.5,495.0,Sterling Silver,N/A,"Oval Onyx 4.3,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Novelty 14K White Gold Diamond Cross Ring, 0.10 TCW",626.5,895.0,14K Gold,White,"Round Diamond 0.1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Mosaic 14K Yellow Gold Multi Gemstone Ring, 1.40 TCW",945.0,1350.0,14K Gold,Yellow,Round Multi Color 1.4,,,,,,"Amethyst, Blue Topaz, Citrine, Peridot & Garnet.",,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Aquarius 14K White Gold Aquamarine and Diamond Ring, 1.59 TCW",2096.5,2995.0,14K Gold,White,"Round Aquamarine 1.15, Round Diamond 0.44",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 925 Sterling Silver Blue Sapphire Ring, 2.45 TCW",766.5,1095.0,Sterling Silver,N/A,Round Blue Sapphire 2.45,,,,,,,,,,,,,,,,"1/4""",,,,,,,,,,,,,,,,,Rings,Women
Effy Seaside Sterling Silver and 18K Gold Turtle Ring,385.0,550.0,Sterling Silver & 18K Gold,N/A,,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 925 Sterling Silver and 18K Gold Accents Multi Gemstone Ring, 3.62 TCW",385.0,550.0,Sterling Silver & 18K Gold,Yellow,"Multi Shape Multi Color 3.62,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 925 Sterling Silver and 18K Gold Green Amethyst Ring, 1.75 TCW",276.5,395.0,Sterling Silver & 18K Gold,Yellow,"Rectangle Green Amethyst 1.75,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Classique 14K White Gold Diamond Ring, 0.73 TCW",2205.0,3150.0,14K Gold,White,"Baguette Diamond 0.52, Round Diamond 0.21,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Rose 14K Rose Gold Diamond Ring, 0.56 TCW",3356.5,4795.0,14K Gold,Rose,Round Diamond 0.56,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Alexandrite and Diamond Ring, 0.57 TCW",3496.5,4995.0,14K Gold,White,"Oval Alexandrite 0.33, Round Diamond 0.24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Gemma 14K Rose Gold Ruby and Diamond Ring, 1.28 TCW",1676.5,2395.0,14K Gold,Rose,"Baguette Ruby 1.06, Round Diamond 0.22,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Safari 14K White Gold Mix Diamonds and Ruby Peacock Ring, 1.50 TCW",5316.5,7595.0,14K Gold,White,"Round Diamond 1.49, Round Ruby 0.01,Blue, Green, Yellow and White Diamonds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Ring, 3.50 TCW",3347.5,6695.0,14K Gold,Yellow,"Oval Multi Sapphire 2.9, Round Diamond 0.6",,"13/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K White Gold Diamond Ring, 2.53 TCW",6856.5,9795.0,14K Gold,White,Multi Shape Diamond 2.53,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Tanzanite Royale 14K White Gold Tanzanite & Diamond Ring, 2.29 TCW",3570.0,5100.0,14K Gold,White,"Emerald Cut Tanzanite 2.09, Round Diamond 0.2",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bouquet 14K White Gold Diamond Heart Ring, 0.84 TCW",2516.5,3595.0,14K Gold,White,Multi Shape Diamond 0.84,,,,,,,,,,,,,,,,,,,,,,,,,,"3/8""",,,,,,,Rings,Women
"Effy Signature 14K White Gold Diamond Panther Ring, 0.67 TCW",2446.5,3495.0,14K Gold,White,"Round Diamond 0.65, Round Emerald 0.02",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Duo 14K Two Tone Gold Diamond Cluster Ring, 1.93 TCW",6506.5,9295.0,14K Gold,Rose and White,Round Diamond 1.93,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Black Diamond Wide Band Ring, 2.11 TCW",4616.5,6595.0,14K Gold,White,Round Black Diamond 2.11,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Canare 14K Tri Tone Gold Yellow and White Diamond Ring, 1.03 TCW",3916.5,5595.0,14K Gold,Three Tone,"Round Yellow Diamond 0.63, Round Diamond 0.4",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Signature 14K Yellow Gold Diamond and Emerald Panther Ring, 2.13 TCW",7346.5,10495.0,14K Gold,Yellow,"Round Diamond 2.09, Round Emerald 0.04",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Royale Bleu 14K White Gold Sapphire and Diamond Ring, 2.04 TCW",1046.5,1495.0,14K Gold,White,"Marquise Blue Sapphire 1.99, Round Diamond 0.05,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Yellow Gold Green Amethyst and Diamond Ring, 1.72 TCW",1015.0,1450.0,14K Gold,Yellow,"Rectangle Green Amethyst 6.5, Round Diamond 0.14",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Signature 14K Gold Diamond Single or Double Finger Ring, 0.41 TCW",2446.5,3495.0,14K Gold,Yellow,"Round Diamond 0.39, Round Tsavorite 0.02,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Topaz and Diamond Ring, 8.52 TCW",1365.0,1950.0,14K Gold,White,"Emerald Cut Blue Topaz 8.45, Round Diamond 0.07,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"14K Two Tone Gold Espresso and White Diamond Crossover Ring, 1.00 TCW",1925.0,2750.0,14K Gold,Rose and White,Round Diamond 1,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Yellow Gold Alexandrite and Diamond Ring, 0.84 TCW",2575.0,5150.0,14K Gold,Yellow,"Oval Alexandrite 0.42, Round Diamond 0.42",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Ocean Blue 14K Gold London Blue Topaz and Diamond Ring, 8.39 TCW",,,14K Gold,White,"Rectangle Blue Topaz 8.33, Round Diamond 0.06",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bella Bleu 14K White Gold Blue and White Diamond Ring, 0.47 TCW",1746.5,2495.0,14K Gold,White,"Round Diamond 0.47,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Nature 14K Two Tone Gold Diamond Flower Ring, 0.34 TCW",1325.0,2650.0,14K Gold,Rose and White,"Round Diamond 0.34,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Brasilica 14K White Gold Emerald and Diamond Ring, 2.02 TCW",2997.5,5995.0,14K Gold,White,"Emerald Cut Emerald 1.42, Round Diamond 0.6",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Ruby Royale 14K Rose Gold Ruby and Diamond Ring, 0.44 TCW",1186.5,1695.0,14K Gold,Rose,"Round Ruby 0.28, Round Diamond 0.16,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Rose Gold Espresso and White Diamond Belt Ring, 0.57 TCW",1997.5,3995.0,14K Gold,Rose,"Round Cognac Diamond 0.53, Round Diamond 0.04,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Yellow Gold Turquoise and Diamond Ring, 2.03 TCW",1396.5,1995.0,14K Gold,Yellow,"Oval Turquoise 2.35, Round Diamond 0.19",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Ring, 0.52 TCW",976.5,1395.0,14K Gold,Yellow,"Round Ruby 0.43, Round Diamond 0.09,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Eclipse 14K Yellow Gold Onyx and Diamond Ring, 1.79 TCW",906.5,1295.0,14K Gold,Yellow,"Marquise Onyx 7, Round Diamond 0.06",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Royale Bleu 14K White Gold Sapphire and Diamond Ring, 3.10 TCW",3447.5,6895.0,14K Gold,White,"Oval Blue Sapphire 2.85, Round Diamond 0.25",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Blue Topaz and Diamond Ring, 2.44 TCW",1297.5,2595.0,14K Gold,White,"Oval Blue Topaz 2, Round Diamond 0.44",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K 2-Tone Gold Black and White Diamond Ring, 2.35 TCW",5456.5,7795.0,14K Gold,Rose and Yellow,Round Diamond 2.35,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Ruby Royale 14K Rose Gold Ruby and Diamond Ring, 3.49 TCW",6347.5,12695.0,14K Gold,Yellow,"Oval Ruby 2.66, Multi Shape Diamond 0.83",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bordeaux 14K Yellow Gold Garnet and Diamond Ring, 4.76 TCW",1155.0,1650.0,14K Gold,Yellow,"Oval Garnet 4.65, Round Diamond 0.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Two Tone Gold Black and White Diamond Ring, 1.95 TCW",5246.5,7495.0,14K Gold,Yellow and White,Round Diamond 1.95,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Signature 14K Yellow Gold Diamond and Emerald Panther Ring, 1.34 TCW",4756.5,6795.0,14K Gold,Yellow,"Round Diamond 1.28, Round Emerald 0.06",,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Flower Ring, 1.84 TCW",2415.0,3450.0,14K Gold,Yellow,"Oval Ruby 1.42, Round Diamond 0.42,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Royale Bleu 14K Two Tone Gold Sapphire and Diamond Ring, 2.22 TCW",2647.5,5295.0,14K Gold,Yellow and White,"Oval Blue Sapphire 1.42, Round Diamond 0.8",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Royale Bleu 14K White Gold Blue Sapphire & Diamond Ring, 0.91 TCW",2096.5,2995.0,14K Gold,White,"Round Blue Sapphire 0.71, Round Diamond 0.2",,"7/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K White Gold Emerald and Diamond Filigree Ring, 2.28 TCW",3750.0,7500.0,14K Gold,White,"Oval Emerald 1.52, Round Diamond 0.76",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Nature 14K Tri Color Gold Diamond Butterfly Ring, 0.84 TCW",2447.5,4895.0,14K Gold,Three Tone,"Round Diamond 0.84,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Yellow Gold Espresso, Black and White Diamond Ring, 1.83 TCW",5736.5,8195.0,14K Gold,Yellow,Round Diamond 1.83,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Sunset 14K Yellow Gold Citrine and Diamond Ring, 3.58 TCW",2306.5,3295.0,14K Gold,Yellow,"Oval Citrine 3.1, Round Diamond 0.48",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Signature 14K Gold Multi Sapphire and Diamond Panther Ring, 2.72 TCW",2097.5,4195.0,14K Gold,Yellow,"Round Multi Sapphire 2.63, Round Diamond 0.09",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Ring, 1.08 TCW",1326.5,1895.0,14K Gold,White,"Round Tanzanite 0.86, Round Diamond 0.22,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Ocean Bleu 14K White Gold London Blue Topaz and Diamond Ring, 7.03 TCW",2065.0,2950.0,14K Gold,White,"Pear Blue Topaz 6.8, Round Diamond 0.23",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Trio 14K Tri Color Gold Diamond 5 Stack Ring, 0.61 TCW",3146.5,4495.0,14K Gold,Three Tone,"Round Diamond 0.61,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 925 Sterling Silver & 18K Gold Black and White Diamond Ring, 1.00 TCW",1050.0,2100.0,Sterling Silver & 18K Gold,N/A,"Round Diamond 1, Round Diamond ",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Ruby Royale 14K White Gold Ruby and Diamond Ring, 2.12 TCW",2026.5,2895.0,14K Gold,White,"Oval Ruby 1.9, Round Diamond 0.22,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Royale Bleu 14K Yellow Gold Blue Sapphire and Diamond Ring, 2.00 TCW",2905.0,4150.0,14K Gold,Yellow,"Oval Blue Sapphire 1.9, Round Diamond 0.1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Ring, 4.25 TCW",2497.5,4995.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 3.92, Round Diamond 0.33",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bordeaux 14K Yellow Gold Garnet and Diamond Ring, 1.66 TCW",906.5,1295.0,14K Gold,Yellow,"Cushion Garnet 1.5, Round Diamond 0.16",,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Ring, 2.34 TCW",3986.5,5695.0,14K Gold,White,"Cushion Tanzanite 1.9, Round Diamond 0.44",,"7/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Brasilica 14K White Gold Emerald and Diamond Ring, 1.76 TCW",2415.0,3450.0,14K Gold,White,"Baguette Emerald 1.52, Round Diamond 0.24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Seaside 14K Two Tone Gold Diamond Starfish Ring, 0.26 TCW",1956.5,2795.0,14K Gold,Yellow and White,"Round Diamond 0.26,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Safari Sterling Silver and 18K Gold Sapphire Dragon Ring, 0.79 TCW",976.5,1395.0,Stainless Steel & 18K Gold,N/A,"Round Blue Sapphire 0.7, Round Diamond 0.09",,"1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Yellow Gold Amethyst and Diamond Ring, 0.75 TCW",626.5,895.0,14K Gold,Yellow,"Cushion Amethyst 0.7, Round Diamond 0.05",,,,,,,,,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Ocean Bleu 14K White Gold Blue Topaz and Diamond Ring, 13.65 TCW",2236.5,3195.0,14K Gold,White,"Rectangle Blue Topaz 13.3, Round Diamond 0.35",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 925 Sterling Silver & 18K Gold Accented Diamond Ring, 0.31 TCW",906.5,1295.0,Sterling Silver & 18K Gold,N/A,Round Diamond 0.31,,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bordeaux 14K Yellow Gold Garnet and Diamond Cocktail Ring, 6.57 TCW",2236.5,3195.0,14K Gold,Yellow,"Pear Garnet 6.1, Round Diamond 0.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Diamond Ring, 0.54 TCW",2306.5,3295.0,14K Gold,Yellow,Round Diamond 0.54,,"7/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Novelty 14K White Gold Diamond Bow Ring, 0.35 TCW",1536.5,2195.0,14K Gold,White,"Round Diamond 0.35,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Espresso 14K Rose Gold Diamond Criss Cross Ring, 1.06 TCW",3076.5,4395.0,14K Gold,Rose,"Round Diamond 1.06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy D'Oro 14K Yellow Gold Diamond Ring, 0.33 TCW",2026.5,2895.0,14K Gold,Yellow,"Round Diamond 0.33,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Ring, 4.60 TCW",3597.5,7195.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 3.19, Round Diamond 1.41",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Rose Gold Espresso and White Diamond Ring, 1.28 TCW",2447.5,4895.0,14K Gold,Rose,"Round Diamond 1.28,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Rose Gold Amethyst, Pink Tourmaline Diamond Ring, 8.02 TCW",2306.5,3295.0,14K Gold,Rose,"Emerald Cut Multi Color 7.7, Round Diamond 0.32",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Gold Amethyst, Pink Tourmaline and Diamond Butterfly Ring, 6.95 TW",1956.5,2795.0,14K Gold,Rose,"Multi Shape Multi Color 6.8, Round Diamond 0.15",,,,,,,,,,,,,,,,,,,,,,,,,,,"1.25""",,,,,,Rings,Women
"Effy Nature 14K Rose Gold Amethyst and Diamond Flower Ring, 7.79 TCW",1886.5,2695.0,14K Gold,Rose,"Heart Amethyst 7.75, Round Diamond 0.04",,,,,,,,,,,,,,,,,"3/4""",,,,,,,,,,,,,,,,Rings,Women
"Effy Espresso 14K Rose Gold Espresso and White Weave Ring, 0.55 TCW",1897.5,3795.0,14K Gold,Rose,"Round Diamond 0.55,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Ring, 8.28 TCW",4686.5,6695.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 8.07, Round Diamond 0.21",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Rose 14K Gold Diamond Cross Over Ring, 0.82 TCW",2225.0,4450.0,14K Gold,Rose,"Round Diamond 0.82,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"14K White Gold Black and White Diamond Ring, 1.61 TCW",3247.5,6495.0,14K Gold,White,"Round Black Diamond, Round Diamond ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Nature 14K Yellow Gold Diamond Flower Ring, 0.23 TCW",1956.5,2795.0,14K Gold,Yellow,Round Diamond 0.23,,,,,,,,,,,,,,,,,"3/4""",,,,,,,,,,,,,,,,Rings,Women
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Ring, 7.82 TCW",4050.0,8100.0,14K Gold,Yellow,"Oval Ruby 7.17, Round Diamond 0.65",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Canare 14K 2-Tone Gold Yellow and White Diamond Ring, 0.56 TCW",2547.5,5095.0,14K Gold,Yellow and White,Round Diamond 0.56,,"7/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Tanzanite Royale Sterling Silver Tanzanite and Diamond Ring, 2.09 TCW",1650.0,3300.0,Sterling Silver,N/A,"Rectangle Tanzanite 1.9, Round Diamond 0.19",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Two Tone Gold Yellow and White Diamond Ring, 0.44 TCW",1575.0,3150.0,14K Gold,Yellow and White,Round Diamond 0.44,,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Aquarius Sterling Silver Aquamarine Ring, 1.50 TCW",206.5,295.0,Sterling Silver,N/A,"Oval Aquamarine 1.5,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Splash Sterling Silver Multi Sapphire Buckle Ring, 2.49 TCW",556.5,795.0,Sterling Silver,N/A,Round Multi Sapphire 2.49,,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
